,receita,exercicio,tipo_documento,valor_total,numero_debito
0,IPTU-DA,1973,CPF,9213.41,1
1,IPTU-DA,1975,CNPJ,5117.74,1
2,IPTU-DA,1975,CPF,50388.89,2
3,IPTU-DA,1977,CNPJ,19122.69,1
4,IPTU-DA,1977,CPF,54605.19,5
5,IPTU-DA,1978,CPF,1341.25,1
6,IPTU-DA,1979,CPF,21423.260000000002,3
7,IPTU-DA,1981,CNPJ,160068.84,4
8,IPTU-DA,1982,CNPJ,393072.61,7
9,IPTU-DA,1982,CPF,97775.56999999999,7
10,IPTU-DA,1983,CNPJ,187751.11000000002,9
11,IPTU-DA,1983,CPF,80876.75,7
12,IPTU-DA,1984,CNPJ,268380.62,10
13,IPTU-DA,1984,CPF,185262.28,14
14,IPTU-DA,1985,CNPJ,209541.37,6
15,IPTU-DA,1985,CPF,11815.52,5
16,IPTU-DA,1986,CNPJ,729002.49,8
17,IPTU-DA,1986,CPF,141538.41,5
18,IPTU-DA,1987,CPF,48360.229999999996,2
19,IPTU-DA,1988,CNPJ,106658.74,1
20,IPTU-DA,1988,CPF,95922.23999999999,3
21,IPTU-DA,1989,CPF,14.16,8
22,IPTU-DA,1990,CNPJ,1720990.5599999998,225
23,IPTU-DA,1990,CPF,820053.43,557
24,IPTU-DA,1991,CNPJ,6945064.5,27
25,IPTU-DA,1991,CPF,1247322.73,68
26,IPTU-DA,1992,CNPJ,14127840.51,34
27,IPTU-DA,1992,CPF,2625105.08,74
28,IPTU-DA,1993,CNPJ,9956502.040000001,67
29,IPTU-DA,1993,CPF,3072029.69,237
30,IPTU-DA,1994,CNPJ,12439699.440000001,82
31,IPTU-DA,1994,CPF,4827508.08,294
32,IPTU-DA,1995,CNPJ,19125473.89,92
33,IPTU-DA,1995,CPF,7837928.56,369
34,IPTU-DA,1996,CNPJ,18106474.37,121
35,IPTU-DA,1996,CPF,9471867.13,417
36,IPTU-DA,1997,CNPJ,26925890.810000002,136
37,IPTU-DA,1997,CPF,5351985.21,329
38,IPTU-DA,1998,CNPJ,23820302.25,292
39,IPTU-DA,1998,CPF,13369570.42,1191
40,IPTU-DA,1999,CNPJ,24667219.92,381
41,IPTU-DA,1999,CPF,20369575.19,1448
42,IPTU-DA,2000,CNPJ,27812809.51,475
43,IPTU-DA,2000,CPF,20324577.13,1764
44,IPTU-DA,2001,CNPJ,30276240.060000002,265
45,IPTU-DA,2001,CPF,18056191.32,1183
46,IPTU-DA,2002,CNPJ,35321184.9,351
47,IPTU-DA,2002,CPF,24620287.23,1587
48,IPTU-DA,2003,CNPJ,35479039.96,570
49,IPTU-DA,2003,CPF,24403255.33,2269
50,IPTU-DA,2004,CNPJ,33517546.75,638
51,IPTU-DA,2004,CPF,18730349.74,2568
52,IPTU-DA,2005,CNPJ,48506609.01,641
53,IPTU-DA,2005,CPF,16569813.92,2831
54,IPTU-DA,2006,CNPJ,60139245.36,1106
55,IPTU-DA,2006,CPF,33996694.94,3944
56,IPTU-DA,2007,CNPJ,110479174.48,1067
57,IPTU-DA,2007,CPF,43398859.18,4071
58,IPTU-DA,2008,CNPJ,82725696.07,1969
59,IPTU-DA,2008,CPF,53648935.31,8263
60,IPTU-DA,2009,CNPJ,68384019.32,2295
61,IPTU-DA,2009,CPF,72571371.31,9618
62,IPTU-DA,2010,CNPJ,81901476.67,2613
63,IPTU-DA,2010,CPF,82341384.92,11266
64,IPTU-DA,2011,CNPJ,147258676.38,3092
65,IPTU-DA,2011,CPF,123622514.98,13567
66,IPTU-DA,2012,CNPJ,166130467.09,2738
67,IPTU-DA,2012,CPF,124377498.03,9150
68,IPTU-DA,2013,CNPJ,184217637.94,3621
69,IPTU-DA,2013,CPF,122842306.11,13126
70,IPTU-DA,2014,CNPJ,443806916.54,3166
71,IPTU-DA,2014,CPF,640235168.34,13016
72,IPTU-DA,2015,CNPJ,211977929.44,3137
73,IPTU-DA,2015,CPF,336272502.34,13886
74,IPTU-DA,2016,CNPJ,215438758.35,3988
75,IPTU-DA,2016,CPF,349360069.45,19571
76,IPTU-DA,2017,CNPJ,156482691.04,3978
77,IPTU-DA,2017,CPF,264170923.35999998,21199
78,IPTU-DA,2018,CNPJ,178905515.49,8860
79,IPTU-DA,2018,CPF,141715447.78,54584
80,IPTU-DA,2019,CNPJ,166982893.2,6925
81,IPTU-DA,2019,CPF,130028920.29,50384
82,IPTU-DA,2020,CNPJ,169419311.69,7899
83,IPTU-DA,2020,CPF,129741598.34,57280
84,IPTU-DA,2021,CNPJ,152241070.48,10400
85,IPTU-DA,2021,CPF,128407608.59,69622
86,IPTU-DA,2022,CNPJ,293587881.22,13931
87,IPTU-DA,2022,CPF,274365729.18,76260
88,IPTU-DA,2023,CNPJ,274211041.68,15614
89,IPTU-DA,2023,CPF,130320623.94,68008
90,IPTU-DA,2024,CNPJ,5528966.649999999,33
91,IPTU-DA,2024,CPF,2558113.67,12
92,ISS - DECLARADO - SEFAZ,2000,CNPJ,2135.94,1
93,ISS - DECLARADO - SEFAZ,2001,CNPJ,1847858.0,1
94,ISS - DECLARADO - SEFAZ,2002,CNPJ,1141944.6199999999,2
95,ISS - DECLARADO - SEFAZ,2010,CNPJ,205194.13,1
96,ISS - DECLARADO - SEFAZ,2011,CNPJ,117052.14,2
97,ISS - DECLARADO - SEFAZ,2012,CNPJ,349725.47,4
98,ISS - DECLARADO - SEFAZ,2013,CNPJ,715147.76,11
99,ISS - DECLARADO - SEFAZ,2014,CNPJ,128075.47,6
100,ISS - DECLARADO - SEFAZ,2014,CPF,1972.85,1
101,ISS-DA,1971,CNPJ,55950.65,1
102,ISS-DA,1973,CNPJ,84991.68,2
103,ISS-DA,1975,CNPJ,35255.6,1
104,ISS-DA,1975,CPF,7098.86,1
105,ISS-DA,1977,CNPJ,14226.37,1
